Country,Call Type,"Flagfall
(Exc. GST)","Rate
(Exc. GST)"
St Vincent & Bequia,Fixed,,$0.59
,Mobile,,$0.93
Sudan,Fixed,,$0.47
,Mobile,,$0.59
Suriname,Fixed,,$0.93
,Mobile,,$1.55
Swaziland,Fixed,,$0.36
,Mobile,,$0.93
Sweden,Fixed,,$0.05
,Mobile,,$0.78
Switzerland,Fixed,,$0.05
,Mobile,,$0.93
Syria,Fixed,,$0.93
,Mobile,,$1.29
Taiwan,Fixed,,$0.09
,Mobile,,$0.36
Tajikistan,Fixed,,$0.47
,Mobile,,$0.59
Tanzania,Fixed,,$1.85
,Mobile,,$0.93
Thailand,Fixed,,$0.22
,Mobile,,$0.22
Togo,Fixed,,$0.93
,Mobile,,$0.93
Tokelau,Fixed,,$3.37
,Mobile,,$2.56
Tonga,Fixed,,$2.06
,Mobile,,$2.06
Trinidad & Tobago,Fixed,,$0.93
,Mobile,,$0.93
Tunisia,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Turkey,Fixed,,$0.12
,Mobile,,$0.59
Turkmenistan,Fixed,,$0.36
,Mobile,,$0.47
Turks & Caicos Is,Fixed,,$0.70
,Mobile,,$0.93
Tuvalu,Fixed,,$2.84
,Mobile,,$2.05
Uganda,Fixed,,$1.80
,* Mobile (Route Disabled),,
UK Special,Fixed,,$0.78
,Mobile,,$0.78
Ukraine,Fixed,,$0.47
,Mobile,,$0.93
United Arab Emirates,Fixed,,$2.86
,Mobile,,$2.86
United Kingdom,Fixed,,$0.05
,Mobile,,$0.08
,Inbound TollFree from Mobile,,$0.24
,Inbound TollFree from Fixed,,$0.14
Uruguay,Fixed,,$0.17
,Mobile,,$0.59
USA,Fixed,,$0.05
,Inbound US TollFree,,$0.12
Uzbekistan,Fixed,,$0.36
,Mobile,,$0.36
Vanuatu,Fixed,,$2.06
,Mobile,,$2.06
Vatican City,Fixed,,$0.09
,Mobile,,$0.09
Venezuela,Fixed,,$0.22
,Mobile,,$0.36
Vietnam,Fixed,,$0.23
,Mobile,,$0.23
Virgin Islands (USA),Fixed,,$0.08
,Mobile,,$0.05
Wallis and Futuna Islands,Fixed,,$0.93
,Mobile,,$2.56
Yemen,Fixed,,$0.78
,Mobile,,$0.47
Zaire,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Zambia,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Zimbabwe,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
